hoja_origen,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
SUBANÁLISIS BÁSICOS,00162,"Triturado 1/2"" viaje x 7 M3",MT,M3,0.84,0.05,119000,104958,119000,104958,119000,104958,119000,104958,119000,104958,,,,
SUBANÁLISIS BÁSICOS,40110,Concreto 3500 PSI en obra,,M3,,,,474245.94,,472951.815,,485446.815,,459564.315,,480984.315,,,,
SUBANÁLISIS BÁSICOS,01058,Cemento gris Argos Kilo,MT,Kg,425,0.05,632.9,282431.625,630,281137.5,658,293632.5,600,267750,648,289170,,,,
SUBANÁLISIS BÁSICOS,00155,Arena lavada blanca viaje x 7 M3,MT,M3,0.67,0.05,150000,105525,150000,105525,150000,105525,150000,105525,150000,105525,,,,
SUBANÁLISIS BÁSICOS,00001,Agua de acueducto,MT,LT,229,0.05,10.7,2572.8149999999996,10.7,2572.8149999999996,10.7,2572.8149999999996,10.7,2572.8149999999996,10.7,2572.8149999999996,,,,
SUBANÁLISIS BÁSICOS,00162,"Triturado 1/2"" viaje x 7 M3",MT,M3,0.67,0.05,119000,83716.5,119000,83716.5,119000,83716.5,119000,83716.5,119000,83716.5,,,,
SUBANÁLISIS BÁSICOS,40111,Concreto 4000 PSI en obra,,M3,,,,378111.09,,377100.15,,386860.95000000007,,366642.15,,383374.95000000007,,,,
SUBANÁLISIS BÁSICOS,01058,Cemento gris Argos Kilo,MT,Kg,332,0.05,632.9,220628.94,630,219618,658,229378.80000000002,600,209160,648,225892.80000000002,,,,
SUBANÁLISIS BÁSICOS,00155,Arena lavada blanca viaje x 7 M3,MT,M3,0.55,0.05,150000,86625,150000,86625,150000,86625,150000,86625,150000,86625,,,,
SUBANÁLISIS BÁSICOS,00001,Agua de acueducto,MT,LT,190,0.05,10.7,2134.6499999999996,10.7,2134.6499999999996,10.7,2134.6499999999996,10.7,2134.6499999999996,10.7,2134.6499999999996,,,,
SUBANÁLISIS BÁSICOS,00162,"Triturado 1/2"" viaje x 7 M3",MT,M3,0.55,0.05,119000,68722.50000000001,119000,68722.50000000001,119000,68722.50000000001,119000,68722.50000000001,119000,68722.50000000001,,,,
SUBANÁLISIS BÁSICOS,40104,Concreto 2000 PSI en obra,,M3,,,,329024.85,,328491.975,,333636.975,,322979.475,,331799.475,,,,
SUBANÁLISIS BÁSICOS,01058,Cemento gris Argos Kilo,MT,Kg,175,0.05,632.9,116295.375,630,115762.5,658,120907.5,600,110250,648,119070,,,,
SUBANÁLISIS BÁSICOS,00155,Arena lavada blanca viaje x 7 M3,MT,M3,0.56,0.05,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,,,,
SUBANÁLISIS BÁSICOS,00001,Agua de acueducto,MT,LT,185,0.05,10.7,2078.475,10.7,2078.475,10.7,2078.475,10.7,2078.475,10.7,2078.475,,,,
SUBANÁLISIS BÁSICOS,00163,"Granzón 3/4"" x 8 M3",MT,M3,0.98,0.05,119000,122451,119000,122451,119000,122451,119000,122451,119000,122451,,,,
